"id","curso","aula","link1","link2","tempo"
2919,"ANLIX - Princípios do Wi-Fi","STREAMS MIMO","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=86ab7039-0b0a-4772-b9ce-2e3fe97ee4d1","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=b2654fdc-2efa-4c84-bdd7-22f24e2e4d3c","00:11:57"
3506,"ANLIX  - TR069","A EVOLUÇÃO DO TR 069","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=af6a18d2-5c7a-42ad-98fe-12397778d041",NULL,"00:14:07"
3502,"ANLIX  - TR069","INTRODUÇÃO A GERENCIA REMOTA","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=fb4d790d-4abc-4343-b480-70346cd096dc",NULL,"00:11:47"
3511,"ANLIX  - TR069","EXECUTANDO DIAGNÓSTICOS TR 143","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=d2f8117e-2704-46a8-ab02-fc7e5e855f78",NULL,"00:11:37"
3510,"ANLIX  - TR069","GERENCIAMENTO DE SERVIÇOS","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=1398d50a-b4be-45fd-a5a6-5c1cd0387ebc",NULL,"00:09:28"
3509,"ANLIX  - TR069","GERENCIAMENTO A WAN","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=94837859-4447-423a-aa48-b1b411abbee2",NULL,"00:12:37"
3508,"ANLIX  - TR069","OS MODELOS DE DADOS","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=38f4f22b-fa03-4a5b-ae1e-bdf5f75fcd21",NULL,"00:10:18"
3507,"ANLIX  - TR069","HAND ON TR 069","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=e2c485f9-c816-43a4-b266-720b2610f7d8",NULL,"00:12:13"
3505,"ANLIX  - TR069","MECANISMOS DE SEGURANÇA","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=1bd05efe-4feb-4033-9d7a-72a4394ba0e0",NULL,"00:08:26"
2927,"Anlix: Princípios do Wi-Fi e Gerenciamento via Flashman","A INSTALAÇÃO DE REDES MESH","https://b-vz-05e06853-571.tv.pandavideo.com.br/a90e92cf-7f40-4fb9-9084-6eda0e0a6ecd/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=2215b889-a71e-4e3d-afd4-f560a818ce6d","00:22:07"
2810,"VENDEDOR DE ELITE","BLOQUEIO DO ESPECIALISTA","https://www.youtube.com/watch?v=GAJ9cmjdlLs&ab_channel=KeepLearningSchool",NULL,"00:55:46"
2811,"VENDEDOR DE ELITE","BLOQUEIO DO ADULTO","https://www.youtube.com/watch?v=DXJvMXAArSw&ab_channel=KeepLearningSchool",NULL,"00:58:20"
2814,"VENDEDOR DE ELITE","INTRODUÇÃO AOS BLOQUEIOS CEREBRAIS","https://www.youtube.com/watch?v=yvF8ZaZhl18&ab_channel=KeepLearningSchool",NULL,"00:35:12"
2812,"VENDEDOR DE ELITE","BLOQUEIO DO OCUPADO","https://www.youtube.com/watch?v=ZTokjzCZ4ck&ab_channel=KeepLearningSchool",NULL,"00:44:44"
2815,"VENDEDOR DE ELITE","BLOQUEIO DA TRADIÇÃO","https://www.youtube.com/watch?v=Y-Q_mhJTZAk&ab_channel=KeepLearningSchool",NULL,"00:46:19"
2816,"VENDEDOR DE ELITE","BLOQUEIO DA LÓGICA","https://www.youtube.com/watch?v=qlwJpVH_4Jw&ab_channel=KeepLearningSchool",NULL,"00:52:29"
2817,"VENDEDOR DE ELITE","BLOQUEIO DO IMPLÍCITO","https://www.youtube.com/watch?v=7oarv969liA&ab_channel=KeepLearningSchool",NULL,"00:46:49"
2818,"VENDEDOR DE ELITE","Introdução","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=c2d7a9d3-2ea9-4d27-930b-921d4d6f3101",NULL,"00:02:18"
2819,"VENDEDOR DE ELITE","Venda Externa de Alta Conversão - Motivacional","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=8154563c-fbcb-4c72-8e64-424d02fcbd80",NULL,"01:04:10"
2820,"VENDEDOR DE ELITE","Venda Externa de Alta Conversão - Técnicas de Venda","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=2d3cb3db-2b53-44ca-89da-fa7bf06f4cc0",NULL,"01:15:31"
2821,"VENDEDOR DE ELITE","Potencializando Resultados e Estratégias - Disciplina","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=726e4545-6632-4aa3-aa30-cc39c1ae9f0c",NULL,"01:40:57"
2822,"VENDEDOR DE ELITE","Potencializando Resultados e Estratégias - Técnicas","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=1ac8d29f-a081-4183-87bc-ea2852ff5538","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","01:29:17"
2823,"VENDEDOR DE ELITE","Introdução","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=1101d304-8ee1-47e9-a356-d7d29e9122fe","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","00:01:22"
2824,"VENDEDOR DE ELITE","O que é Omnichanel","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=77b915ba-3ae7-45f6-bcec-df7e176c87e5","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","00:12:05"
2825,"VENDEDOR DE ELITE","Tipos de Canais","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=fd09bf64-a79c-41b4-9597-c3bcd1ff85c4","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","00:11:03"
2826,"VENDEDOR DE ELITE","As 3 Chaves para o sucesso na venda interna","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=466a50a8-52de-4cd1-8d70-7819e2d9ea23","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","00:23:26"
2827,"VENDEDOR DE ELITE","Metodo COVAC na venda Omnichannel","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=70b44b7e-c77b-434a-9b7c-feb38e8d0102","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","00:27:55"
2829,"VENDEDOR DE ELITE","Fim","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=813a1eb9-33ca-4989-8696-15fc99426f93","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","00:01:36"
2830,"VENDEDOR DE ELITE","Upgrade de planos - part. Juliano Totti","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=7136ea09-f6a0-4219-b9d3-67273a240fc4","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","01:13:16"
2831,"VENDEDOR DE ELITE","O Papel do Líder de Time de Vendas","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=6aa02847-c041-40c9-a163-97b66c0b004a","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","01:51:56"
2832,"VENDEDOR DE ELITE","Métricas, metas e comissão para vendedores de ELITE","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=e2b9bff4-875c-4eda-b9c8-3cd77c213f37","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","02:06:19"
2833,"VENDEDOR DE ELITE","Desafios da Venda PAP [painel - convidados remotos]","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=21e53ca4-664d-46d7-9259-c30497498049","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=embed","02:04:08"
2979,"WI-FI 360","WI-FI PREMIUM PARA GERENTES DE PRODUTO - TIRA DUVIDAS","https://b-vz-05e06853-571.tv.pandavideo.com.br/0a5c0655-f550-43db-92f2-69e5f8ff6210/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=0a5c0655-f550-43db-92f2-69e5f8ff6210","01:08:44"
3537,"WI-FI 360","WI-FI PREMIUM PARA INSTALADORES DE FIBRA OPTICA","https://b-vz-05e06853-571.tv.pandavideo.com.br/6694fa18-31e7-4d6a-a79a-7e9d53d41184/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=6694fa18-31e7-4d6a-a79a-7e9d53d41184","01:39:08"
2977,"WI-FI 360","BOAS VINDAS","https://b-vz-05e06853-571.tv.pandavideo.com.br/b6d4edaf-6f3f-4068-8963-605cee9b6e8f/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=b6d4edaf-6f3f-4068-8963-605cee9b6e8f","00:03:40"
3536,"WI-FI 360","WI-FI PREMIUM PARA VENDEDORES","https://b-vz-05e06853-571.tv.pandavideo.com.br/7ef71c04-6ec7-477c-bd42-a00e2a70cabb/playlist.m3u8",NULL,"01:49:58"
2982,"WI-FI 360","WI-FI PREMIUM PAARA SUPORTE","https://b-vz-05e06853-571.tv.pandavideo.com.br/2ced45ac-ef1e-4fd1-b836-d1263cb58dcf/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=2ced45ac-ef1e-4fd1-b836-d1263cb58dcf","01:14:00"
2978,"WI-FI 360","WI-FI PREMIUM PARA GERENTES DE PRODUTO","https://b-vz-05e06853-571.tv.pandavideo.com.br/f9d6464f-0641-41f0-b871-d5e1990c8ac0/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=f9d6464f-0641-41f0-b871-d5e1990c8ac0","03:27:25"
3812,"WI-FI 360","WI-FI PREMIUM PARA INSTALADORES DE FIBRA OPTICA","https://b-vz-05e06853-571.tv.pandavideo.com.br/6694fa18-31e7-4d6a-a79a-7e9d53d41184/playlist.m3u8",NULL,"01:39:08"
3811,"WI-FI 360","WI-FI PREMIUM PARA VENDEDORES","https://b-vz-05e06853-571.tv.pandavideo.com.br/7ef71c04-6ec7-477c-bd42-a00e2a70cabb/playlist.m3u8",NULL,"01:49:58"
3813,"Wi-Fi para Suporte e Manutenção","Wi-Fi para Suporte e Manutenção","https://b-vz-05e06853-571.tv.pandavideo.com.br/d3793966-6b79-4fe3-a548-276f88626625/playlist.m3u8",NULL,"02:30:55"
2699,"WI-FI PREMIUM RESIDENCIAL","Tipos de Antena","https://b-vz-05e06853-571.tv.pandavideo.com.br/54769113-895a-407e-bb4e-377350832a80/playlist.m3u8",NULL,"00:16:46"
3504,"ANLIX  - TR069","O MECANISMO DE COMUNICAÇÃO DIRETA","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=e4f2b2b6-fd4f-4d01-86c6-55caf17edfa8",NULL,"00:10:56"
3501,"ANLIX  - TR069","APRESENTAÇÃO ANLIX","https://b-vz-05e06853-571.tv.pandavideo.com.br/58d89f90-6e7b-4469-a806-99151f53925b/playlist.m3u8",NULL,"00:04:09"
3512,"ANLIX  - TR069","HANDS ON - FLASHMAN - O ACS DA ANLIX","https://b-vz-05e06853-571.tv.pandavideo.com.br/939a375a-dfdf-45a1-a923-7cded39cb17d/playlist.m3u8",NULL,"00:07:09"
3503,"ANLIX  - TR069","O PROTOCOLO TR -069","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=83d3607c-7aa5-4356-b5bd-7d5ab4ecdd13",NULL,"00:15:15"
2515,"ATENDIMENTO ENCANTADOR","O PROTOCOLO INTERNET","https://www.youtube.com/watch?v=HNQD0qJ0TC4",NULL,"00:05:44"
2520,"ATENDIMENTO ENCANTADOR","POR ONDE VEM A INTERNET","https://www.youtube.com/watch?v=fYJl-7jRzuw",NULL,"00:11:15"
2519,"ATENDIMENTO ENCANTADOR","COMO A INTERNET FUNCIONA","https://www.youtube.com/watch?v=AABqPceCwZk",NULL,"00:04:00"
2502,"ATENDIMENTO ENCANTADOR","EXTRA 2 - AULA TIRA DUVIDAS - O ATENDENTE","https://b-vz-05e06853-571.tv.pandavideo.com.br/75593375-c734-4b77-9287-c7ef755a1a7b/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=75593375-c734-4b77-9287-c7ef755a1a7b","01:29:32"
2518,"ATENDIMENTO ENCANTADOR","GOVERNANÇA DA INTERNET","https://www.youtube.com/watch?v=ZYsjMEISR6E",NULL,"00:06:50"
2517,"ATENDIMENTO ENCANTADOR","DNS","https://www.youtube.com/watch?v=ACGuo26MswI",NULL,"00:06:55"
2501,"ATENDIMENTO ENCANTADOR","A LINHA AMARELA","https://b-vz-05e06853-571.tv.pandavideo.com.br/2e3bf790-34d8-4ef0-93d6-65d08dca51d3/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=2e3bf790-34d8-4ef0-93d6-65d08dca51d3","00:06:36"
2500,"ATENDIMENTO ENCANTADOR","AS HABILIDADES DO ATENDENTE DE SUCESSO","https://b-vz-05e06853-571.tv.pandavideo.com.br/95ead53c-45af-4bea-a496-47777fdfab37/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=95ead53c-45af-4bea-a496-47777fdfab37","00:18:44"
2499,"ATENDIMENTO ENCANTADOR","OS TIPOS DE ATENDENTES","https://b-vz-05e06853-571.tv.pandavideo.com.br/8fb6dc4a-cd09-4b4b-8dcc-38931f1ded55/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=8fb6dc4a-cd09-4b4b-8dcc-38931f1ded55","00:10:27"
2498,"ATENDIMENTO ENCANTADOR","O PAPEL DO ATENDENTE NA JORNADA DO SUPORTE","https://b-vz-05e06853-571.tv.pandavideo.com.br/ffe80384-6678-4190-abf1-f9fb51270edd/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=ffe80384-6678-4190-abf1-f9fb51270edd","00:09:59"
2497,"ATENDIMENTO ENCANTADOR","EXTRA - AULA AO VIVO TIRA DUVIDAS","https://b-vz-05e06853-571.tv.pandavideo.com.br/64499d5e-b4e3-4736-80ab-a04bdd1e3946/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=64499d5e-b4e3-4736-80ab-a04bdd1e3946","01:21:42"
2496,"ATENDIMENTO ENCANTADOR","EXTRA - COMO APLICAR NPS PARA MEDIR A SATISFAÇÃO","https://b-vz-05e06853-571.tv.pandavideo.com.br/ecf569d7-f403-412e-8550-2db55e422969/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=ecf569d7-f403-412e-8550-2db55e422969","00:06:09"
2516,"ATENDIMENTO ENCANTADOR","SISTEMAS AUTÔNOMOS - BGP, PTTS","https://www.youtube.com/watch?v=C5qNAT_j63M",NULL,"00:07:06"
2495,"ATENDIMENTO ENCANTADOR","OS TIPOS DE CLIENTES","https://b-vz-05e06853-571.tv.pandavideo.com.br/5ad85383-36c8-452f-8467-1785b1bd4ae4/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=5ad85383-36c8-452f-8467-1785b1bd4ae4","00:07:38"
2525,"ATENDIMENTO ENCANTADOR","A DIFERENÇA DE MEGABIT PARA MEGABYTE","https://www.youtube.com/watch?v=X2adch0_WBY",NULL,"00:06:43"
2524,"ATENDIMENTO ENCANTADOR","O QUE É A INTERNET?","https://www.youtube.com/watch?v=xBvAxzK9Xsk",NULL,"00:08:35"
2523,"ATENDIMENTO ENCANTADOR","O QUE É A INTERNET? (DESCOMPLICANDO)","https://www.youtube.com/watch?v=KPCfjcyO3fg",NULL,"00:04:23"
2522,"ATENDIMENTO ENCANTADOR","O QUE É E COMO FUNCIONA A INTERNET","https://www.youtube.com/watch?v=hBRDMaxKB8Q",NULL,"00:04:36"
2494,"ATENDIMENTO ENCANTADOR","O SUCESSO DO CLIENTE","https://b-vz-05e06853-571.tv.pandavideo.com.br/f77a1ff9-e79a-43b2-9eb0-7f05f26e511f/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=f77a1ff9-e79a-43b2-9eb0-7f05f26e511f","00:05:12"
2493,"ATENDIMENTO ENCANTADOR","O NOVO PERFIL DE CLIENTES","https://b-vz-05e06853-571.tv.pandavideo.com.br/863721bc-734b-4212-b757-ad3d5713f025/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=863721bc-734b-4212-b757-ad3d5713f025","00:07:54"
2492,"ATENDIMENTO ENCANTADOR","O MOTIVO DA SUA EMPRESA EXISTIR","https://b-vz-05e06853-571.tv.pandavideo.com.br/67a9b83e-0f44-4270-af62-b5b659049a6d/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=67a9b83e-0f44-4270-af62-b5b659049a6d","00:04:42"
2491,"ATENDIMENTO ENCANTADOR","RESUMO DA JORNADA","https://b-vz-05e06853-571.tv.pandavideo.com.br/5bf06fae-5437-4408-8356-31d20fef35d2/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=5bf06fae-5437-4408-8356-31d20fef35d2","00:26:11"
2490,"ATENDIMENTO ENCANTADOR","SEJA BEM VINDO + DICAS APRENDIZADO","https://b-vz-05e06853-571.tv.pandavideo.com.br/01857d7b-24a0-4a2d-9e8d-2330332b1a30/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=01857d7b-24a0-4a2d-9e8d-2330332b1a30","00:02:38"
2508,"ATENDIMENTO ENCANTADOR","EXTRA 1 - COMO DIZER NAO PARA O CLIENTE","https://b-vz-05e06853-571.tv.pandavideo.com.br/c02197af-0a9d-4c74-803a-4dcdb306aff8/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=c02197af-0a9d-4c74-803a-4dcdb306aff8","00:05:22"
2509,"ATENDIMENTO ENCANTADOR","EXTRA 2 - SE ERRAR CONCERTE","https://b-vz-05e06853-571.tv.pandavideo.com.br/1ce506d5-472d-45f9-96bb-940ab9d76721/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=1ce506d5-472d-45f9-96bb-940ab9d76721","00:05:40"
