"vitrine_id","vitrine_nome","vitrine_criado_em","vitrine_removido_em","produto_id_relacionado","produto_nome","prouto_criado_em","produto_removido_em","produto_meta","aulas_id","aula_nome","aula_link","aula_criado_em","aula_meta","aula_removido_em"
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15743","Redes ópticas Ponto a Ponto e Multiponto","https://b-vz-05e06853-571.tv.pandavideo.com.br/252ad888-f859-4f1e-8925-a73aad55b959/playlist.m3u8","2021-05-04 11:55:28",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15765","As etapas de construção da rede","https://b-vz-05e06853-571.tv.pandavideo.com.br/68e45a0b-8572-43a6-b97a-5968cdbcb39a/playlist.m3u8","2021-05-04 13:44:26",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15766","O que é e como funciona","https://b-vz-05e06853-571.tv.pandavideo.com.br/c91a99e4-a1de-460b-bae8-ec0525aa885c/playlist.m3u8","2021-05-04 13:46:03",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15767","Estrutura dos Cabos Ópticos","https://b-vz-05e06853-571.tv.pandavideo.com.br/85f635c2-4629-41da-bf16-2fb1770b6995/playlist.m3u8","2021-05-04 13:48:39",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15769","Ativos da Rede","https://b-vz-05e06853-571.tv.pandavideo.com.br/286a58b0-4985-45b9-9430-8b4168610868/playlist.m3u8","2021-05-04 13:50:25",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15770","Lasers Ópticos (SFP’s)","https://b-vz-05e06853-571.tv.pandavideo.com.br/0cb225fd-d2c6-454c-8b3d-e998f66889f5/playlist.m3u8","2021-05-04 13:50:37",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15771","Emendas Ópticas","https://b-vz-05e06853-571.tv.pandavideo.com.br/2051d2ba-392e-4934-9b33-d9ceaa0e8de8/playlist.m3u8","2021-05-04 13:50:49",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15772","DIO e Mini DIO","https://b-vz-05e06853-571.tv.pandavideo.com.br/c017ac31-0e97-452f-90d2-03532c19a647/playlist.m3u8","2021-05-04 13:50:59",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15774","Caixas de Emenda e Atendimento","https://b-vz-05e06853-571.tv.pandavideo.com.br/eb6f0afe-da4c-4dcc-96e5-ae0664d8b9bf/playlist.m3u8","2021-05-04 13:51:13",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15775","Splitter Óptico","https://b-vz-05e06853-571.tv.pandavideo.com.br/79d30246-3290-4dd6-b303-f5a40b77b047/playlist.m3u8","2021-05-04 13:51:18",NULL,NULL
