"instancia_id","subdominio","fibra_optica","instalacao_blindada","redes_tcp_ip1","wifi_premium","dispositivos_inteligentes","prova_e_certificado","cftv","mikrotik","total_certificados"
"4415","7linktelecom","1","1","1","0","0","0","0","0","8"
"726","a2telecom","0","0","1","1","0","0","0","0","2"
"732","academiadetalentos","0","0","0","0","0","0","0","0","1"
"2507","agtnet","0","0","0","0","0","0","0","0","1"
"5435","aisanet","0","0","0","0","0","0","0","0","1"
"4372","akinet","0","0","0","0","0","0","0","0","1"
"3916","allrede","2","1","1","2","1","1","1","1","24"
"6289","alnet","0","0","0","0","0","0","0","0","1"
"4665","alternativaprovedor","0","0","0","0","0","0","0","0","1"
"2938","aonet","1","1","1","1","1","1","1","1","33"
"1279","apextelecom","0","0","0","0","0","0","0","0","2"
"6133","arcplusnet","0","0","0","0","0","0","0","0","1"
"3015","area51","0","0","0","0","0","0","0","0","1"
"544","arealnet","0","0","0","0","0","0","0","0","3"
"6010","arobanetrs","0","0","0","0","0","0","0","0","26"
"2210","ascesnet","0","0","0","0","0","0","0","0","1"
"2829","ascon","0","0","0","0","0","0","0","0","1"
"796","asernettelecom","3","3","3","4","4","4","1","1","28"
"940","atel","3","4","0","0","1","1","1","1","28"
"3629","atiinternet","0","0","0","0","0","0","0","0","4"
"5006","biranet","0","0","0","0","0","0","0","0","1"
"1343","bjnet","0","0","0","0","0","0","0","0","13"
"5894","blix","1","0","0","0","0","0","0","0","1"
"4659","bmiservicosdigitais","1","1","1","0","0","0","0","1","9"
"766","brasildigital","0","0","0","0","0","0","0","0","23"
"818","brasilink","2","1","2","1","1","1","0","0","19"
"4650","brasilnetpower","0","0","0","1","1","1","0","0","14"
"3109","brh","1","2","1","1","0","0","0","0","8"
"2124","brsulnet","3","1","1","2","2","3","0","0","56"
"4409","carajasnet","6","1","0","0","0","0","0","0","10"
"6052","catupi-com","0","0","1","0","0","0","0","0","1"
"3153","cbnettelecom","0","0","0","0","0","0","0","0","5"
"2744","centralnet","1","0","0","0","1","1","0","0","10"
"1790","centurynet","0","0","1","1","0","0","0","0","4"
"5676","ciabrasnet","0","0","0","0","0","0","0","0","3"
"2000","citta","0","0","1","1","0","0","0","0","5"
"1289","cleannet","2","2","2","2","2","2","1","1","26"
"2384","clickcom","0","0","0","0","0","0","0","0","8"
"832","clickip","8","6","5","5","3","3","4","4","126"
"1954","clicknet","0","2","0","0","0","0","0","0","2"
"5230","cloudiprovedordeinternet","1","0","1","0","0","0","0","0","6"
"6158","cnet","0","0","0","0","0","0","0","0","4"
"1021","cninternet","0","0","0","0","0","0","0","0","5"
"448","coelhotecnologia","1","0","0","0","0","0","0","0","4"
"5526","conectadigital","0","0","0","0","0","0","0","0","2"
"4156","conectfiber","2","0","0","0","0","2","0","0","5"
"500","conectiva","2","0","0","0","0","0","0","0","10"
"2722","conectnet","1","0","1","0","0","0","0","0","5"
"4179","conectprovedor","0","0","0","0","0","0","0","0","1"
"6177","conectsoluction","0","0","0","0","0","0","0","0","1"
"1466","conectsul","0","0","0","0","0","0","0","0","2"
"3027","conectv","0","0","0","0","0","0","0","0","1"
"5768","connectepe","1","0","0","0","0","0","0","0","1"
"5940","connectsul","0","0","0","0","0","0","0","0","2"
"3393","contatointernet","0","0","0","0","0","0","0","0","1"
"5359","conteudodigitais","1","1","0","0","0","0","0","0","13"
"4649","contilnettelecom","0","0","0","0","0","0","0","0","2"
"2839","cosmo","0","1","1","1","0","2","0","0","5"
"5506","criativainternet","0","0","0","0","0","0","1","0","1"
"3164","cst","2","2","3","2","1","0","0","0","26"
"1447","cyber","1","0","0","1","0","0","0","1","20"
"2492","cybernet","0","1","0","0","0","0","1","0","16"
"2190","cznet","1","0","0","0","0","0","0","0","6"
"2551","dbnet","1","1","1","1","2","0","0","0","21"
"6284","dcesarylocacoeseservicos","0","0","0","0","0","0","0","0","1"
"5582","deltaativa","0","0","1","0","0","0","0","0","9"
"1273","destaktelecom","0","0","0","0","0","0","0","0","1"
"4886","digiplannet","0","0","0","0","0","0","0","0","2"
"5035","digitaltelecomsp","0","0","1","1","1","1","1","0","8"
"4206","d-kiros","0","0","0","0","0","0","0","0","28"
"3979","dotcom","1","1","1","1","1","1","1","1","9"
"6264","dstechinternet","0","0","0","0","0","0","0","0","5"
"1192","dtel","12","15","10","9","9","10","6","5","106"
"2929","dwsolutions","3","3","0","0","1","1","1","0","21"
"5356","easynet","0","0","0","0","0","0","0","0","2"
"5479","egrnet","0","0","0","0","0","0","0","0","1"
"5502","eldorado","2","1","0","1","1","1","1","0","8"
"4657","eletelschool","0","0","0","0","0","0","0","0","9"
"1333","eltec","6","1","0","1","1","1","0","0","17"
"3973","ertelecom","0","0","0","1","1","1","1","0","5"
"5986","esadinet","0","0","0","0","0","0","0","0","2"
"6057","esferacondominio","1","1","0","1","2","1","1","1","9"
"5562","essainternet","0","0","0","0","1","0","1","0","2"
"838","estrelasnet","0","0","0","1","0","0","0","0","6"
"4925","eteccfibraoptica","1","0","0","1","0","0","1","0","16"
"692","eventelecom","0","0","0","0","0","0","0","0","1"
"269","evofibra","1","1","1","1","0","0","0","0","6"
"3574","fabreutelecom","1","0","1","1","1","0","1","1","10"
"5432","faculdadeg6","0","0","0","0","0","0","0","0","3"
"5668","fainet","0","1","0","0","0","0","0","0","2"
"1908","faloutelecom","0","0","0","0","0","0","0","0","6"
"3509","ferreiratelecom","0","0","0","0","0","0","0","0","5"
"1797","fgtelecom","1","0","0","0","0","0","0","1","3"
"1151","fibernet","0","0","0","0","0","0","0","0","3"
"1216","fiberschoolpeopleandculture","1","0","0","0","0","0","0","0","4"
"1251","fibersys","0","0","0","0","0","0","0","0","1"
"3255","fibralink","0","0","0","0","0","0","0","0","6"
"3457","fibranetcenter","0","0","0","0","0","0","0","0","4"
"1043","fibron","1","1","1","0","0","0","0","0","8"
"6319","fiostec","0","0","0","0","0","0","0","0","5"
"1477","fivenet","0","0","0","0","0","0","0","0","2"
"501","fixtell","1","0","0","0","0","0","0","0","1"
"4813","flashnetbrasil","1","0","0","0","0","0","0","0","1"
"2800","flexfibra","1","0","0","0","0","0","0","0","1"
"3570","fliptelecom","0","0","0","0","0","0","0","0","1"
"5423","flyinternetsorriso","0","0","0","1","1","1","1","1","7"
"3161","forza","0","0","0","0","0","0","0","0","2"
"3174","foxconect","0","0","1","1","2","2","2","2","19"
"5240","ftnetgraficos","0","0","0","2","0","0","1","0","9"
"5514","g10telecom","0","0","0","1","0","0","0","0","1"
"6182","g3internetrural","1","1","0","0","0","0","0","0","4"
"1842","galizanet","1","0","0","0","0","0","0","0","14"
"3638","gbstecnologia","2","1","0","0","0","0","0","0","11"
"4011","gdnetfibra","1","0","0","0","0","1","0","0","4"
"5781","gdnetprovedor","0","0","0","0","0","0","0","0","2"
"1637","gentedigital","0","0","0","0","0","0","0","0","4"
